year,university_nid,country,university,rank,overall_score,International Students Ratio_score,International Faculty Ratio_score,Faculty Student Ratio_score,Citations per Faculty_score,Academic Reputation_score,Employer Reputation_score
2021,294800,Taiwan,National Tsing Hua University,168,46.4,18,19.4,34.8,58.3,49.5,58.1
2021,297256,United States,Texas A&M University,169,46.2,19.1,25.2,8.1,59.2,60.7,59.9
2021,294085,Switzerland,University of Lausanne,170,46.2,62,99.5,56.7,51.7,35.1,21.5
2021,297489,Italy,Sapienza University of Rome,171,46.1,10.5,4.8,5.1,46.3,78.4,33.8
2021,294243,India,Indian Institute of Technology Bombay (IITB),172,46,1.6,3.9,36.2,53.1,50.4,74.2
2021,297263,Germany,Technische Universität Dresden,173,45.9,34.1,35.7,83.7,21.5,37.6,61.1
2021,294609,United Kingdom,University of Bath,174,45.9,90.4,98.1,24.8,50,36.1,67.7
2021,297232,Germany,Eberhard Karls Universität Tübingen,175,45.8,26,45.8,89.5,17.8,45.6,22.6
2021,294376,Germany,Albert-Ludwigs-Universitaet Freiburg,176,45.8,43.9,62.4,35.7,51.8,52,18.7
2021,294267,Israel,The Hebrew University of Jerusalem,177,45.7,9.9,65.4,79.8,39.2,37.4,29.5
2021,294492,Ireland,University College Dublin,178,45.7,63.2,97.6,28.8,39,49.2,41.6
2021,294852,United States,University of Minnesota Twin Cities,179,45.7,15,7.1,31.9,48.1,64.3,26.2
2021,294535,Chile,Universidad de Chile,180,45.6,7.4,9.5,13.8,15,73.9,91.2
2021,297278,Sweden,Stockholm University,181,45.5,41.5,87.5,29,46.9,55.1,15.6
2021,294045,United Kingdom,University of Liverpool,182,45.5,93.8,86.7,48.6,30.9,42.9,31
2021,294613,Spain,Universitat de Barcelona,183,45.4,32.1,6.6,20.9,35.5,70.2,38.1
2021,297618,New Zealand,University of Otago,184,45.3,59,100,17.6,43.5,53,36.5
2021,295536,India,Indian Institute of Science,185,44.9,1.6,1.4,49.8,100,31.8,18.3
2021,297053,Saudi Arabia,King Fahd University of Petroleum & Minerals,186,44.7,18.1,100,80.7,46.1,27.7,21.1
2021,294873,Malaysia,Universiti Teknologi Malaysia ,187,44.2,63.9,27.6,64.4,27.8,39.4,51.6
2021,297212,United States,Vanderbilt University,188,44.2,31.5,23.5,100,39.7,26.9,24.7
2021,294550,Belgium,Université catholique de Louvain (UCLouvain),189,44.1,39.9,87.2,7.6,60.9,50.2,37.2
2021,297196,Japan,Waseda University,190,44.1,36.7,31,30.6,7.6,58.6,93.6
2021,294156,Japan,Keio University,191,44,11.7,12.2,60.8,9.6,49.5,87
2021,297208,Austria,Technische Universität Wien,192,44,86,75.2,10.2,77.5,32.3,52.7
2021,294242,India,Indian Institute of Technology Delhi (IITD),193,43.9,1.5,2.3,28.4,67.8,44.3,64.5
2021,294603,Norway,University of Bergen,194,43.4,8.8,87.3,77.9,42.4,33.6,8.2
2021,294311,Germany,University of Göttingen,195,43.3,25,49.9,65.5,24.3,49,17.9
2021,297181,Australia,University of Wollongong,196,43.2,86,91.8,19.2,71,31.3,34.5
2021,294457,Netherlands,Erasmus University Rotterdam ,197,43.1,59,82.2,32.4,46.7,34,63.7
2021,294784,Australia,"The University of Newcastle, Australia (UON)",198,43.1,44.6,99.9,32.4,64.7,33.5,27.9
2021,297226,Netherlands,University of Twente,199,43.1,86.5,96.1,36.8,69.8,20.8,40.4
2021,293977,Spain,Universidad Autónoma de Madrid,200,42.8,12,8.8,42.3,23.3,57.1,55.4
2021,294582,Belgium,Vrije Universiteit Brussel (VUB),201,42.8,62.1,88.2,87.3,29.1,24.7,18.9
2021,294314,Sweden,University of Gothenburg,202,42.7,42.7,65.5,69.2,31.4,38.3,15.7
2021,294505,United States,Dartmouth College,203,42.6,32.7,5.5,69.5,79.3,19.4,29.5
2021,297187,Canada,Western University,204,42.6,51,95.6,7.4,76.1,29.8,63.7
2021,297458,United Kingdom,University of Reading,205,42.3,86.4,93.2,28.6,53,33.4,34.3
2021,294880,Spain,Complutense University of Madrid,206,41.9,21.3,3.2,23.3,14.2,66.4,63.5
2021,294647,United Kingdom,University of Aberdeen,207,41.8,99,94.8,32.8,57.4,28.7,23.6
2021,294531,Thailand,Chulalongkorn University,208,41.6,2.6,14.6,29.1,9,67.1,60.7
2021,297461,United Kingdom,Queen's University Belfast,209,41.5,96.5,99.8,46.3,36.6,29,33
2021,294570,United States,"University of California, Irvine",210,41.4,75.7,46.6,10.7,68.7,44.2,14.4
2021,295657,United Arab Emirates,Khalifa University,211,41.2,48.1,100,86.4,52.6,11.9,10.2
2021,294761,United States,University of Notre Dame,212,41.2,19.8,29.3,68.2,42.3,29.2,47.5
2021,294612,Spain,Universitat Autònoma de Barcelona,213,40.9,23.1,22.2,15.2,39.9,59.9,33.9
2021,293982,Australia,"Macquarie University (Sydney, Australia)",214,40.8,97.5,97.2,21.8,44.5,31.6,49.6
2021,294777,Netherlands,Radboud University ,215,40.8,23.2,59,40.2,70.2,31.8,16.7
2021,297578,Italy,Università di Padova,216,40.6,5.9,10.9,11.1,49.9,59.4,35.6
2021,294507,Australia,Curtin University,217,40.5,50.2,100,16.8,60.6,32.4,43.4
2021,297459,Australia,Queensland University of Technology (QUT),218,40.5,41.8,97.8,8.7,48.5,43.2,45.6
2021,297205,United States,University of Virginia,219,40.5,14.3,8.1,61.4,38.5,37.2,42.4
2021,297050,Lebanon,American University of Beirut (AUB),220,40.4,64.6,84.4,59.7,16.5,27.7,64
2021,294631,United States,Arizona State University,221,40.4,46.3,67.5,11.1,57.6,43.4,33.4
2021,294558,South Africa,University of Cape Town,222,40.4,35.8,67.1,25.3,39.6,45.1,39.7
2021,297499,Australia,RMIT University,223,40,94.3,100,9.8,35,37.6,60.2
2021,297211,New Zealand,Victoria University of Wellington,224,40,54.3,99.6,12.3,35.2,48.4,31.8
2021,297283,Russia,Saint Petersburg State University,225,39.9,36.8,5.9,83.3,7.2,41.2,29.2
2021,294009,United Kingdom,Loughborough University,226,39.7,72.2,83.8,29.3,34.1,30.9,66.1
2021,294011,Colombia,Universidad de los Andes,227,39.6,2.5,28.4,23.8,7.6,55.3,94
2021,294749,Russia,Novosibirsk State University,228,39.4,47.2,9,94.7,18.9,28.8,21.3
2021,294282,Germany,Universität Hamburg,229,39.4,22.9,45,26.1,46.4,48.7,17.7
2021,294355,United States,Georgetown University,230,39.3,47.2,15.1,63.2,25.8,33.5,47.7
2021,297260,Israel,Tel Aviv University,231,39.3,9.3,33.2,6.2,94.9,34.3,29.9
2021,294520,United States,University of Colorado Boulder,232,39.3,11,24.1,44.5,59.7,36.9,17.6
2021,294560,Brazil,Universidade Estadual de Campinas (Unicamp),233,39.2,3.7,8.8,16.5,35.6,62.3,29.6
2021,293985,Netherlands,Maastricht University ,234,38.9,100,97.1,20,65,21.8,30.5
2021,294814,Taiwan,National Cheng Kung University (NCKU),235,38.9,23,17,35.8,35,41,60.9
2021,294106,South Korea,Kyung Hee University,236,38.8,47.9,16.2,88.3,18.6,25.4,37.8
2021,297203,Netherlands,Vrije Universiteit Amsterdam,237,38.8,23.6,37,43.1,41.9,41.7,18.3
2021,294364,Ireland,University of Galway,238,38.3,58.8,91.8,75.3,15.2,24.2,27.4
2021,294634,Belgium,University of Antwerp,239,38.3,39.1,77.5,73.1,36.4,22.5,13.2
2021,294810,Taiwan,National Chiao Tung University,240,38.2,21.4,30,40.7,44.5,29.7,64.9
2021,294594,Germany,Rheinische Friedrich-Wilhelms-Universität Bonn,241,38.2,23.6,43.8,43.5,21.3,50.6,13.8
2021,294463,France,Ecole des Ponts ParisTech,242,38.1,99.6,31.8,93.1,20.7,8.8,49.9
2021,297573,France,Sciences Po,243,38.1,99.2,52,89.1,6,21,29.2
2021,294075,United Kingdom,University of Leicester,244,38.1,85.4,82.7,45.6,43.3,24.8,17.3
2021,293349,Qatar,Qatar University,245,37.9,95.4,100,69.7,19.4,19.3,23.3
2021,297462,Canada,Queen's University at Kingston,246,37.8,28.8,71,7.5,48.2,36.5,68.8
2021,294574,Canada,University of Calgary,247,37.8,57.1,82.9,27.2,41.2,33,36.6
2021,296147,United Kingdom,University of Sussex,248,37.8,95.1,96.4,20.2,58.7,28,10.2
2021,296996,China (Mainland),Wuhan University,249,37.8,8.5,48.6,16.8,53.4,38.2,53.7
2021,297245,Russia,Tomsk State University,250,37.7,93.4,29.1,99.9,6.1,21.7,15.1
2021,294581,Belgium,Universite libre de Bruxelles,251,37.7,88.7,87.2,6.8,45.8,33,50
2021,294879,Thailand,Mahidol University,252,37.5,5.6,8.6,69.6,7.8,41.7,44.4
2021,294793,Spain,University of Navarra,253,37.5,68.5,25,51.3,20.4,28.8,67.8
2021,294365,Indonesia,Gadjah Mada University,254,37.4,2.2,48.7,59.9,1.7,44.9,43.2
2021,295818,Brunei,Universiti Brunei Darussalam (UBD),255,37.4,63.9,100,95.4,7.9,18.3,10.5
2021,297244,China (Mainland),Tongji University,256,37.2,28.4,88,22.4,60.6,34.4,8.5
2021,294246,United States,University of Illinois at Chicago (UIC),257,37.2,21.1,10.3,40.4,32.8,44.7,29.3
2021,297482,United States,Rutgers University–New Brunswick,258,37,42.3,24.6,55.1,16.3,38.9,35.5
2021,294523,Colombia,Universidad Nacional de Colombia,259,36.9,1.3,8.2,7,5.6,60.8,93.2
2021,294539,Czechia,Charles University,260,36.7,46.9,19,48.4,11.8,43.4,37.6
2021,297014,China (Mainland),Harbin Institute of Technology,261,36.7,8.7,9.6,49.3,79.8,22.4,8.4
2021,297231,United States,Tufts University,262,36.7,36,32.8,75.7,45.3,20.2,7.8
2021,296998,China (Mainland),Sun Yat-sen University,263,36.4,6.3,9.7,57.5,31.9,35.4,33.7
2021,296813,Hong Kong SAR,Hong Kong Baptist University,264,36.3,95.6,98.2,39.3,49.9,18.2,12.7
2021,294230,Austria,Universität Innsbruck,265,36.2,99.5,99.3,66.1,15.8,20.6,13.8
2021,297234,Japan,University of Tsukuba,266,36.2,27.3,15.5,68.9,22.5,34.6,17.6
2021,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),267,36,40.8,23.2,58.5,40.7,24.8,28
2021,297233,Germany,Technical University of Darmstadt,268,36,68.7,53.4,5.9,70.6,20.3,62.2
2021,297275,United Kingdom,University of Surrey,269,36,95.4,97.1,22.4,45.8,23.4,31.6
2021,294559,New Zealand,University of Canterbury | Te Whare Wānanga o Waitaha,270,35.9,60.2,99.6,10.7,38,35.6,37.4
2021,294866,United States,University of Massachusetts Amherst,271,35.9,25.6,35.2,16.4,56.2,41.2,16.1
2021,294865,New Zealand,Massey University,272,35.8,97.6,98.7,29.3,28.8,29.3,24.5
2021,297639,Switzerland,USI - Università della Svizzera italiana,273,35.6,100,100,86.1,29.1,4.7,5.2
2021,294630,United States,The University of Arizona,274,35.6,15.6,24.6,52,23.2,41.3,18.5
2021,884388,Australia,Deakin University.,275,35.5,82.7,97.1,5.1,48.7,28.9,39.8
2021,294238,India,Indian Institute of Technology Madras (IITM),276,35.5,1.5,2.6,31.5,50.9,34.1,50.1
2021,297506,Austria,Graz University of Technology,277,35.5,55.7,70.6,96.1,17.3,13.5,9.2
2021,924190,France,Université Paris Cité,278,35.5,19.6,17.2,20.7,56.8,43.1,7.2
2021,297022,China (Mainland),Beijing Normal University ,279,35.4,28.8,24.4,30.4,51.3,38.3,8.8
2021,297610,Canada,University of Ottawa,280,35.4,58.6,94.9,5.7,62,25.3,38.8
